id,name,city,state,lat,lng,operator,usage_type,connector_type,power_kw,chargers_total,chargers_available,status,price_per_kwh,renewable_pct,grid_load,created_at,address,availability,contact,isValidated,issue,lattitude,longitude,notes,phones,pincode,pricing,stationid,type
st_0051,KVR Dream Vehicles Service Centre - Tata Power,Iritty,Kerala,11.990685920762216,75.6580218310773,Tata Power,Public - Membership Required,CCS (Type 2),30.0,2.0,0.0,busy,9.8,40.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0052,KVR Dream Vehicle - Tata Power,Nadal,Kerala,11.832856721502948,75.42644169657501,Tata Power,Public - Membership Required,CCS (Type 2),25.0,1.0,0.0,busy,11.1,57.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0054,Tata.ev KVR Dreams Kannur - Tata Power,Kannur,Kerala,11.860830340847158,75.41186777793837,Tata Power,Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,6.7,91.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0055,KVR Dream Vehicles Service Center - Tata Power,Payyanur,Kerala,12.120003262388037,75.21755451244977,Tata Power,Public - Membership Required,CCS (Type 2),30.0,2.0,1.0,limited,8.0,37.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0056,V-Net Shopping Complex - Tata Power,Payyannur,Kerala,12.175048478868092,75.1934333250936,Tata Power,Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,offline,9.3,54.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0057,Taj Bekkal - Tata Power,Bekkal,Kerala,12.42338327765249,75.01475480358593,Tata Power,"Private - For Staff, Visitors or Customers",Type 2 (Tethered Connector),7.4,4.0,4.0,available,10.6,71.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0058,TML KVR Dream Vehicles EVCS - Tata Power,Kasaragod,Kerala,12.513454412772605,75.02712293765926,Tata Power,Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,11.9,88.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0059,IOCL Top Fuels Karanthakkad Charging Station - Tata Power,Kasaragod,Kerala,12.509407895012473,74.98611113925955,Tata Power,Public - Membership Required,CCS (Type 2),30.0,2.0,2.0,available,13.2,34.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0060,Eco Charge Hub - GO EC,Thiruvananthapuram,Kerala,8.353208648493009,77.05379011708595,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,4.0,4.0,available,8.1,28.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0062,Rajco EVCS - GO EC,Neyyattinkara,Kerala,8.394252774929768,77.08872897393405,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,10.1,85.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0064,Appolo Dimora Hotel EVCS - GO EC,Thiruvananthapuram,Kerala,8.48866100741148,76.95075167233601,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,12.7,48.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0065,Lulu International Mall EVCS - GO EC,Thiruvananthapuram,Kerala,8.515262881600334,76.8981584378087,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,4.0,0.0,busy,7.0,65.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0069,Trivandrum UST Campus EVCS - GO EC,Thiruvananthapuram,Kerala,8.539993047929073,76.88442500297742,GO EC (IN),"Private - For Staff, Visitors or Customers",Type 2 (Tethered Connector),7.4,4.0,3.0,limited,12.2,62.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0071,Karthika Residency Hotel EVCS - GO EC,Karette,Kerala,8.728845866034801,76.89844751364274,GO EC (IN),Public - Membership Required,CCS (Type 2),80.0,2.0,2.0,available,7.8,25.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0072,KKP Renewables EVCS - GO EC,Karette,Kerala,8.734523377793522,76.8980164722713,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,9.1,42.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0073,Aeron EVCS - GO EC,Attingal,Kerala,8.686808046081069,76.82402232674082,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,4.0,1.0,limited,10.4,59.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0075,Zenith EVCS - GO EC,Attingal,Kerala,8.733067658594678,76.81064655334812,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,2.0,0.0,busy,13.0,93.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0076,Orion Plaza EVCS - GO EC,Chadayamangalam,Kerala,8.863426989733298,76.8712078360212,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,1.0,0.0,busy,7.3,39.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0078,Power Up EVCS - GO EC,Varkala,Kerala,8.74908605012898,76.70581858621796,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,3.0,2.0,limited,9.9,73.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0080,Green Planet EVCS - GO EC,Kottarakkara,Kerala,8.982143340998263,76.80932966421278,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,12.5,36.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0082,RK EVCS - GO EC,Kundara,Kerala,8.948246626469512,76.64624714068498,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,8.1,70.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0084,SK EVCS - GO EC,Pathanapuram,Kerala,9.070991645604138,76.8563112284703,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,1.0,0.0,offline,10.7,33.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0086,Erathu Motors EVCS - GO EC,Puthoor,Kerala,9.051367403391124,76.70324696297251,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,13.3,67.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0088,Vrindavan EVCS - GO EC,Inchakkad,Kerala,9.045128433314076,76.77360003943174,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,1.0,0.0,busy,8.9,30.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0091,JB Power EVCS - GO EC,Adoor,Kerala,9.116847049005273,76.74511188165377,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,2.0,1.0,limited,12.8,81.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0093,Peninsula Park Residency EVCS - GO EC,Adoor,Kerala,9.14530596425949,76.76585838641842,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,4.0,1.0,limited,8.4,44.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0094,Green Earth - GO EC,Adoor,Kerala,9.153564153649183,76.73554436189625,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,3.0,2.0,limited,9.7,61.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0096,Sparkzone EVCS - GO EC,Kayamkulam,Kerala,9.14579459592612,76.45936322492248,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,1.0,0.0,busy,12.3,95.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0098,Zufo EVCS,Karunagappalli,Kerala,9.132307411349302,76.51385828713245,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,3.0,2.0,limited,7.9,58.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0099,Cartist - GO EC,Kayamkulam,Kerala,9.184739728702354,76.49029683829168,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,2.0,0.0,busy,9.2,75.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0102,V Volte EVCS - GO EC,Haripad,Kerala,9.289000834095232,76.45653569251749,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,3.0,2.0,limited,13.1,55.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0104,Anjaly EVCS - GO EC,Omallor,Kerala,9.246935401622354,76.75730779092834,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,8.7,89.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0106,Evergreen Continental EVCS - GO EC,Pathanamthitta,Kerala,9.26377680925411,76.7854352998848,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,11.3,52.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0107,Quik Energy EVCS - GO EC,Chengannur,Kerala,9.311533026822984,76.6227205260136,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,2.0,2.0,available,12.6,69.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0110,Amrutham Auto Care EVCS - GO EC,Chengannur,Kerala,9.342144722861462,76.5984878394704,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,9.5,49.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0112,Changanassery Immaculate Mary EVCS,Changanassery,Kerala,9.459860217939863,76.55518358905401,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,1.0,0.0,offline,12.1,83.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0114,Calvarymount Jerry Plaza,Alliyar,Kerala,9.80694248889715,77.04794025522558,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,7.7,46.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0115,Westgate Inn EVCS - GO EC,Kattappana,Kerala,9.747617293321468,77.10541770305377,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,2.0,1.0,limited,9.0,63.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0116,GO EC Charging Station,Idukki,Kerala,9.665398819574932,77.16084695044691,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,10.3,80.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0118,Sora EVCS - GO EC,Kumali,Kerala,9.614445835422883,77.15390991011253,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,12.9,43.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0120,Open Kitchen EVCS - GO EC,Kuttikkanam,Kerala,9.580204298452545,76.97061172783384,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,1.0,0.0,busy,8.5,77.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0122,Nandanam EVCS - GO EC,Kodungoor,Kerala,9.56707472944133,76.70609404363414,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,11.1,40.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0123,Clay Art Cafe - GO EC,Ponkunnam,Kerala,9.566378511526393,76.74160751395914,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,2.0,0.0,busy,12.4,57.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0125,GO Green EVCS - GO EC,Anthikkad,Kerala,9.753999722373322,76.70127896431033,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,4.0,0.0,busy,8.0,91.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0126,Nila's Magestic Arcade,Kidangoor,Kerala,9.683248151452077,76.60975356992105,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,9.3,37.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0127,Ettumanur Skylight EVCS - GO EC,Ettumanoor,Kerala,9.668171829463475,76.57537881809179,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,2.0,1.0,limited,10.6,54.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0129,Chaithanya Hospital EVCS - GO EC,Kuravilangad,Kerala,9.761923840599692,76.56472253025936,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,4.0,3.0,limited,13.2,88.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0131,Manjoor Beeza Clubhouse EVCS - GO EC,Manjoor,Kerala,9.727579425560023,76.52038777302698,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,2.0,2.0,available,8.8,51.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0132,Kalladanthiyil EVCS - GO EC,Neendoor,Kerala,9.68333687975506,76.50559380666749,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,10.1,68.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0134,The Grand Ambassador EVCS,Kottayam,Kerala,9.589399335956784,76.52633053455001,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,12.7,31.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0135,Hotel Athira Residency EVCS - GO EC,Kottayam,Kerala,9.578258767585764,76.51947056358193,GO EC (IN),Public - Membership Required,CCS (Type 2),80.0,2.0,0.0,busy,7.0,48.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0136,Cassia Regency EVCS - GO EC,Alappuzha,Kerala,9.49016981657603,76.3207371647539,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,8.3,65.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0138,Neo Charge EVCS - GO EC,Alappuzha,Kerala,9.559497168686136,76.32821358891907,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,10.9,28.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0139,Jason Orchard Inn EVCS - GO EC,Alappuzha,Kerala,9.56257506243169,76.32758403292866,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,2.0,1.0,limited,12.2,45.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0140,Huts Restaurant EVCS - GO EC,Cherthala,Kerala,9.683890802446342,76.3335821907994,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,1.0,0.0,offline,6.5,62.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0142,Vijaya EVCS - GO EC,Kanjiramattom,Kerala,9.851840438387283,76.3893878706051,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,3.0,2.0,limited,9.1,25.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0143,MPA Tyres EVCS - GO EC,Thrippunithura,Kerala,9.962610267571378,76.35800116158748,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,2.0,2.0,available,10.4,42.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0144,Central Talkies EVCS - GO EC,Thrippunithura,Kerala,9.948953177742126,76.34771091840872,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,1.0,0.0,busy,11.7,59.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0147,Tribute Royale EVCS - GO EC,Maradu,Kerala,9.94775835957229,76.31854611156217,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,2.0,0.0,offline,8.6,39.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0148,Prithvi EVCS - GO EC,Kadavanthra,Kerala,9.94745163258068,76.3034155566645,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,1.0,0.0,busy,9.9,56.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0150,EC City Centre EVCS - GO EC,Ernakulam,Kerala,9.96519449241434,76.29662321090922,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,3.0,2.0,limited,12.5,90.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0152,Monsoon Empress Hotel EVCS,Palarivattom,Kerala,9.995959579488527,76.31410217952185,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,1.0,0.0,busy,8.1,53.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0153,Max EVCS - GO EC,Palarivattom,Kerala,9.998499333886071,76.31386095749046,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,4.0,1.0,limited,9.4,70.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0154,Park Residency EVCS - GO EC,Kakkanad,Kerala,10.0146588090696,76.34240059520742,GO EC (IN),Public - Membership Required,CCS (Type 2),25.0,3.0,2.0,limited,10.7,87.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0156,EVGO Hub - GO EC,Thrikkakkara,Kerala,10.035673992083431,76.33644845243789,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,1.0,0.0,busy,13.3,50.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0157,Daffodils EVCS - GO EC,Edapally,Kerala,10.032114506603731,76.32296046331254,GO EC (IN),Public - Membership Required,CCS (Type 2),30.0,4.0,4.0,available,7.6,67.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0160,Oberon Mall EVCS - GO EC,Edapally,Kerala,10.014373315870898,76.31253274186467,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,1.0,0.0,busy,11.5,47.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
st_0161,Lulu International Shopping Mall EVCS - GO EC,Edapally,Kerala,10.025852998355104,76.30847987689593,GO EC (IN),Public - Membership Required,CCS (Type 2),60.0,4.0,2.0,limited,12.8,64.0,low,2026-09-12 10:07:06,,,,,,,,,,,,,
